5.450000	9.729000	心ごと体ごと
9.751000	13.326000	全部記憶の中の幻
13.476000	17.232000	本当の愛情が
17.265000	21.625000	指先から流れ出した
23.206326	35.932894	<break>
36.100000	39.502000	遠くから見ていたの
39.655000	43.128000	悲しそうな君のFace
43.242000	46.893000	空の涙と同じね
47.033000	50.898000	大粒の雨が溢れ出す
51.000000	54.329000	不意に気付いた視線
54.507000	58.015000	ハッと息を潜めた
58.155000	61.816000	ひんやりと冷たい手が
61.854000	66.493000	戸惑う君の頬に触れた
67.000000	70.644000	雑踏に飲み込まれ
70.683000	72.930000	忘れてしまった
73.160000	79.375000	温もりが優しさが走る
79.905000	84.188000	心ごと体ごと
84.261000	87.902000	全部記憶の中の幻
87.937000	91.452000	本当の愛情が
91.519000	95.130000	指先から流れ出した
95.212000	98.891000	顔上げて微笑めば
98.940000	102.727000	笑顔取り戻す魔法になる
102.777000	104.738000	こころKnock Knock Knock
104.802000	106.475000	不思議Trick Trick Trick
106.549000	110.166000	生まれ変われる（Wow Wow）
110.181818	114.363636	Freely Tomorrow
114.350000	117.711000	少し震えていたの
117.747000	121.194000	幼くなる君のKiss
121.243000	124.963000	こんな恋知らないから
124.997000	129.154000	もう少し側で寄り添いたい
129.235000	132.569000	君の名前を呼べず
132.619000	136.087000	急に黙り込んだね
136.121000	139.993000	言葉にできない約束
140.060000	144.583000	時を越えて夢に見てた
145.132000	148.717000	暁に染まってく
148.761000	151.155000	星空のように
151.178000	157.410000	哀しみが苦しみが消える
157.995000	162.197000	心ごと体ごと
162.225000	165.888000	全部脱ぎ捨てたこの魂
165.932000	169.679000	無くしてた熱情が
169.730000	173.213000	指先から流れ出した
173.247000	177.100000	恐れずに求めれば
177.126000	180.744000	それは未来を変えるRevolution
180.794000	182.739000	こころKnock Knock Knock
182.774000	184.709000	不思議Trick Trick Trick
184.750000	188.059000	生まれ変われる（Wow Wow）
188.181818	191.272727	Freely Tomorrow
191.454545	202.545455	<break>
202.725000	206.942000	心ごと体ごと
206.979000	210.531000	全部記憶の中の幻
210.564000	214.241000	本当の愛情が
214.291000	217.773000	指先から流れ出した
217.826000	221.795000	顔上げて微笑めば
221.822000	225.497000	笑顔取り戻す魔法になる
225.538000	227.389000	こころKnock Knock Knock
227.422000	229.286000	不思議Trick Trick Trick
229.298000	232.723000	生まれ変われる（Wow Wow）
232.909091	235.818182	Freely Tomorrow
236.818182	236.818182	<end>
